A1,A2,A3,A4,A5,A6,Dates
Average,BDL,BDL,115,340,Clear,14.10.15
Average,BDL,62,356,618,Clear,14.11.15
Average,BDL,32,195,309,Clear,14.12.15
Average,BDL,16,320,405,Partially,15.01.15
Average,BDL,12,240,393,Clear,15.02.15
Average,7,9,18,30,Cloudy &,15.03.15
Average,BDL,12,55,142,Clear,15.05.15
Average,BDL,11,121,212,Partially Cloudy,15.06.15
Average,BDL,BDL,132,223,Cloudy,15.07.15
Average,BDL,BDL,LR,LR,Partially Cloudy,15.09.15
Average,BDL,9,183,292,Clear,15.10.15
Average,BDL,53,305,575,Clear,15.11.15
Average,BDL,42,208,329,Clear,15.12.15
Average,4,18,190,333,Clear,16.02.15
Average,BDL,16,77,12,Clear,16.03.15
Average,BDL,BDL,101,246,Clear,16.04.15
Average,4,12,122,377,Partially Cloudy,16.05.15
Average,BDL,17,136,270,Clear,16.06.15
Average,BDL,10,90,311,Cloudy,16.07.15
Average,BDL,BDL,28,51,Partially,16.08.15
Average,BDL,BDL,99,135,Clear,16.09.15
Average,BDL,21,222,441,Clear,16.11.15
Average,BDL,21,229,302,Clear,16.12.15
Average,BDL,20,229,324,Partially,17.01.15
Average,BDL,14,108,165,Clear,17.04.15
Average,BDL,10,131,217,Clear,17.05.15
Average,BDL,BDL,162,270,Clear,17.06.15
Average,BDL,14,41,64,Cloudy,17.08.15
Average,BDL,BDL,42,97,Partially Cloudy,17.09.15
Average,BDL,11,213,400,Clear,17.10.15
Average,BDL,17,248,415,Clear,17.11.15
Average,BDL,58,306,420,Clear,17.12.15
Average,BDL,18,218,301,Partially,18.01.15
Average,BDL,17,206,336,Clear,18.02.15
Average,BDL,12,87,169,Clear,18.03.15
Average,BDL,25,202,419,Clear,18.04.15
Average,BDL,13,124,295,Clear,18.05.15
Average,BDL,11,110,287,Clear,18.06.15
Average,BDL,BDL,34,85,Partially,18.08.15
Average,BDL,BDL,155,364,Clear,18.10.15
Average,4,52,284,468,Clear,18.11.15
Average,BDL,17,226,300,Partially,19.01.15
Average,BDL,11,209,273,Clear,19.02.15
Average,BDL,22,150,208,Clear,19.03.15
Average,BDL,19,270,441,Clear,19.04.15
Average,BDL,10,112,285,Clear,19.05.15
Average,BDL,BDL,62,107,Cloudy,19.07.15
Average,BDL,BDL,45,94,Partially,19.08.15
Average,BDL,14,72,128,Clear,19.09.15
Average,BDL,14,209,375,Clear,19.10.15
Average,4,42,329,571,Clear,19.11.15
Average,BDL,27,374,532,Clear,19.12.15
Average,BDL,18,224,322,Cloudy,20.01.15
Average,BDL,BDL,246,641,Clear,20.04.15
Average,BDL,18,102,208,Clear,20.05.15
Average,BDL,10,151,354,Clear,20.06.15
Average,BDL,BDL,41,133,Partially,20.08.15
Average,BDL,11,72,115,Clear,20.09.15
Average,BDL,13,169,359,Partially,20.10.15
Average,BDL,47,390,522,Clear,20.12.15
Average,5,12,216,311,Partially,21.01.15
Average,4,16,156,315,Clear,21.02.15
Average,BDL,17,307,630,Clear,21.04.15
Average,BDL,13,167,370,Clear,21.05.15
Average,BDL,BDL,107,345,Clear,21.06.15
Average,BDL,BDL,45,80,"Cloudy &
Rainy",21.07.15
Average,BDL,BDL,43,87,Clear,21.09.15
Average,BDL,50,364,580,Clear,21.11.15
Average,BDL,26,461,619,Clear,21.12.15
Average,BDL,13,181,209,Cloudy &,22.01.15
Average,BDL,47,144,348,Clear,22.02.15
Average,BDL,15,139,236,Clear,22.03.15
Average,BDL,16,228,478,Clear,22.04.15
Average,BDL,BDL,49,95,"Partially
Cloudy",22.07.15
Average,BDL,BDL,50,209,Partially,22.08.15
Average,BDL,BDL,,,clear,22.09.15
Average,BDL,35,378,595,Clear,22.11.15
Average,BDL,26,414,542,Clear,22.12.15
Average,BDL,17,185,346,Clear,23.02.15
Average,BDL,24,126,257,Clear,23.03.15
Average,BDL,18,251,430,Clear,23.04.15
Average,BDL,11,349,595,Clear,23.05
Average,BDL,BDL,110,275,Clear,23.06.15
Average,BDL,BDL,47,110,"Partially
Cloudy",23.07.15
Average,BDL,BDL,53,112,Partially,23.08.15
Average,BDL,9,65,152,Clear,23.09.15
Average,BDL,11,322,496,Clear,23.11.15
Average,BDL,34,440,571,Clear,23.12.15
Average,BDL,17,139,203,Cloudy,24.01.15
Average,BDL,9,151,294,Clear,24.02.15
Average,BDL,15,151,221,Clear,24.03.15
Average,BDL,11,216,632,Clear,24.04.15
Average,BDL,16,67,166,Cloudy,24.05.15
Average,BDL,BDL,42,128,Partially,24.06.15
Average,BDL,13,169,255,Clear,24.08.15
Average,BDL,16,283,527,Clear,24.09.15
Average,BDL,21,136,159,Cloudy &,24.11.15
Average,5,16,171,343,Clear,
Average,BDL,BDL,135,229,Clear,
Average,BDL,BDL,186,674,Clear,
Average,BDL,BDL,316,476,Clear,
Average,BDL,BDL,23,65,"Partially
Cloudy",
Average,BDL,BDL,67,178,Partially,
Average,5,15,179,487,Partially,
Average,BDL,20,182,402,Clear,
Average,BDL,BDL,115,315,Clear,
Average,5,13,201,536,Clear,
Average,BDL,BDL,29,106,Cloudy,
Average,BDL,10,65 198,,Partially,
Average,BDL,11,171,297,Clear,
Average,BDL,29,259,475,Clear,
Average,BDL,19,214,400,Clear,
Average,BDL,10,196 253,,Cloudy,
Average,BDL,BDL,126 451,,Clear,
Average,BDL,33,242 397,,Clear,
Average,BDL,BDL,32,107,"Partially
Cloudy",
Average,5,14,152,244,Clear,
Average,BDL,30,219,351,Clear,
Average,BDL,13,203 278,,Partially,
Average,BDL,64,118 248,,Clear,
Average,BDL,15,150 310,,Clear,
Average,BDL,9,104 238,,Clear,
Average,BDL,11,501 780,,Dust  Strom,
Average,BDL,BDL,123,259,Clear,
Average,BDL,16,164,261,Clear,
Average,BDL,BDL,72 114,,Clear,
Average,BDL,29,204,452,Clear,
Average,BDL,22,221 256,,Clear,
Average,BDL,17,132 274,,Partially,
Average,BDL,BDL,144 396,,Clear,
Average,BDL,BDL,22,97,"Partially
Cloudy",
Average,BDL,BDL,102 185,,Partially,
Average,BDL,14,79 112,,Clear,
Average,BDL,26,399,649,Clear,
Average,BDL,27,211,453,Clear,
Average,BDL,12,54 81,,Cloudy &,
Average,BDL,10,212 428,,Clear,
Average,4,10,295 666,,Clear,
Average,BDL,BDL,29,56,Cloudy,
Average,4,BDL,35,109,Cloudy,
Average,BDL,BDL,88 182,,Clear,
Average,BDL,23,134,258,Clear,
Average,BDL,45,373,693,Clear,
Average,BDL,34,352,476,Clear,
Average,4,23,- -,,Clear,
Average,BDL,14,98 136,,Partially,
Average,BDL,BDL,494 986,,Partially,
Average,BDL,BDL,87 189,,Clear,
Average,BDL,10,185 276,,Clear,
Average,BDL,31,363,506,Clear,
