Average,BDL,24,177,306,Clear,,10.03.16
Average,7,14,237,416,Clear,,10.04.16
Average,BDL,9,128,321,Clear,,10.05.16
Average,BDL,BDL,,11,45,Cloudy & Rain,10.08.16
Average,BDL,12,29,60,161,Clear,10.09.16
Average,BDL,BDL,50,116,224,Clear,10.10.16
Average,BDL,43,322,446,686,Partially Cloud,10.11.16
Average,BDL,21,221,251,310,Foggy,10.12.16
Average,5,31,243,383,Clear,,11.01.16
Average,BDL,16,176,342,Clear,,11.02.16
Average,BDL,14,222,646,Clear,,11.04.16
Average,BDL,BDL,105,227,Clear,,11.05.16
Average,BDL,BDL,--,170,446,Clear,11.06.16
Average,BDL,BDL,,16,58,Cloudy & Rainy,11.08.16
Average,BDL,13,18,72,167,Clear,11.09.16
Average,BDL,23,301,354,486,Foggy,11.12.16
Average,BDL,13,207,320,Clear,,12.01.16
Average,6,BDL,93,235,Clear,,12.03.16
Average,5,15,179,507,Clear,,12.04.16
Average,BDL,17,175,360,Clear,,12.05.16
Average,BDL,9,24,185,345,Clear,12.06.16
Average,BDL,BDL,34,63,176,Clear,12.09.16
Average,4,28,152,237,389,Clear,12.11.16
Average,BDL,16,308,509,Clear,,13.01.16
Average,4,16,158,368,Clear,,13.02.16
Average,4,11,111,226,Clear,,13.03.16
Average,BDL,20,222,551,Clear,,13.04.16
Average,BDL,9,116,177,360,Clear,13.10.16
Average,4,13,134,227,397,Clear,13.11.16
Average,BDL,33,191,250,473,Clear,13.12.16
Average,5,25,246,432,Foggy,,14.01.16
Average,9,21,146,388,Clear,,14.02.16
Average,BDL,20,125,282,Clear,,14.03.16
Average,BDL,14,239,480,Clear,,14.05.16
Average,BDL,11,11,45,99,Clear,14.09.16
Average,BDL,31,176,239,367,Clear,14.12.16
Average,8,17,174,362,Clear,,15.02.16
Average,4,24,145,251,Clear,,15.03.16
Average,BDL,18,203,382,Clear,,15.05.16
Average,BDL,12,--,45,99,Clear,15.09.16
Average,BDL,BDL,87,225,470,Clear,15.10.16
Average,BDL,18,121,189,348,Clear,15.11.16
Average,BDL,20,175,194,361,Clear,15.12.16
Average,6,16,235,392,"PartiallyCloudy",,16.01.16
Average,7,28,221,393,Clear,,16.02.16
Average,BDL,BDL,171,276,Clear,,16.03.16
Average,BDL,29,189,409,Clear,,16.04.16
Average,BDL,14,223,536,Clear,,16.05.16
Average,BDL,11,47,91,249,Clear,16.06.16
Average,BDL,19,7,25,60,,16.07.16
Average,BDL,BDL,32,36,168,Partially Cloud,16.08.16
Average,BDL,45,119,246,444,Clear,16.10.16
Average,9,46,208,296,507,Clear,16.11.16
Average,14,30,270,371,"PartiallyCloudy",,17.01.16
Average,9,25,186,367,Clear,,17.02.16
Average,BDL,16,138,331,Clear,,17.03.16
Average,BDL,18,218,436,Clear,,17.04.16
Average,BDL,32,229,421,Clear,,17.05.16
Average,BDL,BDL,8,18,29,Cloudy  & rain,17.07.16
Average,BDL,BDL,35,50,100,Cloudy & Rainy,17.08.16
Average,BDL,13,23,50,131,Clear,17.09.16
Average,BDL,17,109,191,406,Clear,17.10.16
Average,BDL,20,158,261,487,Clear,17.11.16
Average,BDL,41,161,318,451,Clear,17.12.16
Average,BDL,30,299,413,Foggy,,18.01.16
Average,4,22,205,360,Clear,,18.02.16
Average,BDL,9,239,580,Clear,,18.04.16
Average,BDL,42,202,347,Clear,,18.05.16
Average,BDL,BDL,20,21,39,Cloudy & Rainy,18.08.16
Average,BDL,BDL,8,37,83,Clear,18.09.16
Average,BDL,42,146,247,491,Clear,18.10.16
Average,BDL,44,240,314,488,Clear,18.12.16
Average,BDL,27,287,449,"PartiallyCloudy",,19.01.16
Average,BDL,11,140,286,Clear,,19.03.16
Average,BDL,26,254,511,Clear,,19.04.16
Average,BDL,BDL,145,370,Clear,,19.05.16
Average,5,10,47,57,119,Clear,19.09.16
Average,BDL,31,122,225,479,Clear,19.10.16
Average,5,27,210,249,412,Clear,19.11.16
Average,BDL,23,200,265,358,Clear,19.12.16
Average,BDL,24,241,413,"PartiallyCloudy",,20.01.16
Average,5,33,149,245,Clear,,20.02.16
Average,BDL,19,167,356,Clear,,20.03.16
Average,BDL,BDL,--,52,120,Cloudy & Rainy,20.06.16
Average,BDL,15,--,46,191,Partially Cloudy,20.07.16
Average,BDL,BDL,9,15,47,Partially Cloudy,20.08.16
Average,BDL,BDL,14,55,170,Clear,20.09.16
Average,BDL,18,111,186,378,Clear,20.10.16
Average,BDL,28,191,280,406,Clear,20.11.16
Average,BDL,28,146,183,359,Clear,20.12.16
Average,BDL,BDL,289,456,"PartiallyCloudy",,21.01.16
Average,8,11,139,252,Clear,,21.02.16
Average,BDL,BDL,148,324,Clear,,21.03.16
Average,BDL,19,236,487,Clear,,21.04.16
Average,BDL,BDL,24,29,66,Clear,21.06.16
Average,BDL,18,--,64,205,Clear,21.07.16
Average,BDL,BDL,21,21,63,Partially Cloud,21.08.16
Average,BDL,BDL,10,51,144,Clear,21.09.16
Average,BDL,24,128,198,328,Clear,21.11.16
Average,BDL,27,271,224,333,Clear,21.12.16
Average,BDL,27,243,333,Clear,,22.02.16
Average,4,BDL,158,452,Clear,,22.03.16
Average,BDL,12,322,774,"Clear &Dust strom",,22.05.16
Average,BDL,BDL,--,47,114,Partially Cloudy,22.06.16
Average,BDL,BDL,19,30,86,Partially Cloudy,22.08.16
Average,BDL,BDL,32,39,113,Partially Cloud,22.09.16
Average,BDL,25,65,169,351,Clear,22.10.16
Average,6,31,93,157,286,Clear,22.11.16
Average,BDL,28,195,226,430,Clear,22.12.16
Average,BDL,28,331,446,Clear,,23.01.16
Average,BDL,20,204,257,Clear,,23.02.16
Average,4,28,151,285,Clear,,23.03.16
Average,BDL,BDL,233,451,Clear,,23.04.16
Average,BDL,15,34,78,196,Partially Cloudy,23.06.16
Average,BDL,BDL,13,57,128,Partially Cloudy,23.07.16
Average,4,BDL,13,25,58,Cloudy & Rainy,23.08.16
Average,BDL,22,106,205,468,Clear,23.10.16
Average,7,37,134,225,437,Clear,23.11.16
Average,BDL,20,221,339,Clear,,24.01.16
Average,BDL,28,195,318,Clear,,24.02.16
Average,4,15,218,390,Clear,,24.04.16
Average,BDL,20,245,344,"Duststrom &Rainy",,24.05.16
Average,BDL,BDL,6,22,50,Partially Cloud,24.08.16
Average,BDL,9,31,48,141,Clear,24.09.16
Average,BDL,36,70,196,370,Clear,24.10.16
Average,4,42,148,235,398,Clear,24.11.16
Average,BDL,BDL,276,338,449,Clear,24.12.16
Average,BDL,25,249,363,"PartiallyCloudy &Foggy",,25.01.16
Average,BDL,19,160,251,Clear,,25.02.16
Average,BDL,17,150,324,Clear,,25.04.16
Average,BDL,10,104,312,"Dust strome& Rainy",,25.05.16
Average,BDL,BDL,64,84,209,Clear,25.06.16
Average,BDL,BDL,--,59,124,Partially Cloudy,25.07.16
Average,BDL,BDL,18,49,107,Clear,25.09.16
Average,BDL,9,95,187,443,Clear,25.10.16
Average,BDL,11,112,315,Clear,,26.03.16
Average,BDL,27,235,409,Clear,,26.04.16
Average,BDL,27,200,754,Dust strome,,26.05.16
Average,BDL,BDL,26,60,159,Partially Cloudy,26.06.16
Average,BDL,BDL,--,28,68,Cloudy,26.07.16
Average,BDL,BDL,36,58,126,Clear,26.09.16
Average,BDL,34,109,234,457,Clear,26.10.16
Average,6,16,95,165,399,Clear,26.11.16
Average,BDL,11,166,182,279,Clear,26.12.16
Average,BDL,28,341,495,Clear,,27.01.16
Average,5,25,216,362,Clear,,27.02.16
Average,BDL,20,130,235,Clear,,27.03.16
Average,BDL,25,260,676,Clear,,27.04.16
Average,BDL,18,10,78,133,Partially Cloudy,27.06.16
Average,BDL,11,--,37,54,Cloudy,27.07.16
Average,BDL,10,26,45,85,Clear,27.08.16
Average,BDL,BDL,48,82,164,Clear,06.09.16
Average,BDL,23,196,333,602,Clear,27.10.16
Average,6,22,88,150,318,Clear,28.11.16
Average,BDL,23,183,211,230,Clear,27.12.16
Average,BDL,28,312,535,Clear,,28.01.16
Average,BDL,BDL,198,331,Clear,,28.02.16
Average,6,15,156,313,Clear,,28.03.16
Average,4,28,236,467,Clear,,28.04.16
Average,BDL,13,214,677,Clear,,28.05.16
Average,BDL,BDL,--,40,107,Partially Cloudy,28.06.16
Average,BDL,10,--,22,54,Cloudy & Rainy,28.07.16
Average,BDL,BDL,34,60,110,Partially Cloudy,28.08.16
Average,BDL,45,117,203,468,Clear,28.11.16
Average,BDL,21,218,293,452,Clear,28.12.16
Average,BDL,25,199,329,Clear,,29.02.16
Average,5,18,184,372,Clear,,29.03.16
Average,BDL,13,192,453,Clear,,29.05.16
Average,BDL,11,29,88,133,Partially Cloudy,29.06.16
Average,7,11,22,42,109,Clear,29.08.16
Average,BDL,9,140,311,549,Clear,29.10.16
Average,BDL,24,233,261,439,Clear,29.11.16
Average,BDL,13,--,234,333,Foggy,29.12.16
Average,BDL,38,273,463,Clear,,30.01.16
Average,6,15,196,390,Clear,,30.03.16
Average,BDL,13,225,416,Clear,,30.04.16
Average,BDL,9,114,266,Clear,,30.05.16
Average,BDL,BDL,--,74,156,Clear,30.06.16
Average,BDL,10,--,29,57,Cloudy & Rainy,30.07.16
Average,BDL,24,15,45,73,Partially Cloudy,30.08.16
Average,BDL,12,177,291,445,Clear,30.10.16
Average,BDL,29,-,196,272,Cloudy,30.11.16
Average,8,24,231,397,Clear,,31.01.16
Average,6,34,260,391,Clear,,31.03.16
Average,BDL,18,122,240,Clear,,31.05.16
Average,BDL,10,--,29,61,Cloudy,31.07.16
Average,BDL,BDL,9,22,44,Cloudy,31.08.16
Average,BDL,20,171,368,495,Clear,31.10.16
Average,BDL,16,--,223,320,Clear,31.12.16
