Average,BDL,23,161,316,Clear,,01.02.16
Average,BDL,33,225,416,Clear,,01.03.16
Average,BDL,20,235,434,Clear,,01.05.16
Average,BDL,14,-,118,316,Clear,01.06.16
Average,BDL,BDL,40,54,141,Clear,01.10.16
Average,4,BDL,167,256,413,Clear,01.11.16
Average,BDL,BDL,--,280,392,Foggy,01.12.16
Average,10,35,395,611,Clear,,02.01.16
Average,4,24,224,314,Clear,,02.02.16
Average,4,23,245,386,Clear,,02.03.16
Average,4,29,218,403,Clear,,02.04.16
Average,BDL,23,249,548,Clear,,02.05.16
Average,BDL,BDL,132,153,412,Clear,02.06.16
Average,BDL,11,--,32,87,Cloudy,02.07.16
Average,BDL,BDL,,25,50,Partially Cloud,02.08.16
Average,BDL,25,302,338,522,Clear,02.11.16
Average,8,36,387,492,Clear,,03.01.16
Average,4,12,199,351,Clear,,03.02.16
Average,BDL,13,225,465,Clear,,03.03.16
Average,5,19,192,466,Clear,,03.04.16
Average,BDL,15,196,508,"DustStrom",,03.05.16
Average,BDL,9,18,46,115,Partially Cloud,03.07.16
Average,BDL,9,12,26,47,Partially Cloud,03.08.16
Average,BDL,BDL,32,36,119,Clear,03.09.16
Average,BDL,BDL,54,70,162,Clear,03.10.16
Average,BDL,9,228,277,407,Clear,03.11.16
Average,BDL,35,288,350,527,Foggy,03.12.16
Average,4,18,374,549,"PartiallyCloudy",,04.01.16
Average,6,24,185,333,Clear,,04.02.16
Average,8,23,254,554,Clear,,04.04.16
Average,BDL,12,198,414,Clear,,04.05.16
Average,BDL,BDL,120,132,349,Clear,04.06.16
Average,BDL,BDL,13,57,143,Clear,04.09.16
Average,BDL,BDL,51,78,183,Clear,04.10.16
Average,BDL,22,188,290,328,Foggy,04.12.16
Average,BDL,32,346,569,"PartiallyCloudy",,05.01.16
Average,5,18,128,318,Clear,,05.03.16
Average,5,14,181,397,Clear,,05.04.16
Average,BDL,BDL,186,552,Clear,,05.05.16
Average,BDL,BDL,39,139,390,Clear,05.06.16
Average,BDL,12,3,62,120,Rainy,05.07.16
Average,BDL,BDL,17,43,154,Clear,05.09.16
Average,BDL,9,14,68,259,Clear,05.10.16
Average,BDL,29,366,484,711,Clear &  foggy,05.11.16
Average,6,49,238,270,414,Clear,05.12.16
Average,BDL,12,306,469,Clear,,06.01.16
Average,BDL,28,201,313,Clear,,06.02.16
Average,8,16,95,176,Clear,,06.03.16
Average,6,22,262,413,Clear,,06.04.16
Average,BDL,BDL,--,135,362,Clear,06.06.16
Average,BDL,BDL,,23,54,Partially Cloud,06.08.16
Average,BDL,BDL,15,49,142,Clear,06.09.16
Average,4,9,21,59,119,Cloudy,06.10.16
Average,BDL,32,311,561,822,Foggy,06.11.16
Average,BDL,15,--,277,401,Clear,06.12.16
Average,BDL,24,408,590,Clear,,07.01.16
Average,BDL,18,214,348,Clear,,07.02.16
Average,4,12,109,197,Clear,,07.03.16
Average,BDL,10,211,476,Clear,,07.04.16
Average,BDL,BDL,151,297,Clear,,07.05.16
Average,BDL,BDL,99,112,330,Clear,07.06.16
Average,BDL,BDL,5,32,64,Partially Cloudy,07.08.16
Average,BDL,12,44,67,193,Clear,07.09.16
Average,BDL,33,--,278,455,Foggy,07.12.16
Average,BDL,22,201,336,Clear,,08.02.16
Average,BDL,20,134,269,Clear,,08.03.16
Average,BDL,BDL,155,313,Clear,,08.05.16
Average,BDL,BDL,--,148,352,Clear,08.06.16
Average,BDL,BDL,,23,63,Partially Cloud,08.08.16
Average,BDL,30,48,85,208,Clear,08.09.16
Average,BDL,12,102,156,330,Clear,08.10.16
Average,BDL,47,222,348,552,Clear,08.11.16
Average,BDL,18,--,296,419,Clear,08.12.16
Average,6,17,255,411,Clear,,09.01.16
Average,BDL,23,269,429,Clear,,09.02.16
Average,BDL,18,146,275,Clear,,09.03.16
Average,4,12,183,373,Clear,,09.04.16
Average,BDL,BDL,126,262,Cloudy,,09.05.16
Average,BDL,BDL,,21,53,Partially Cloud,09.08.16
Average,BDL,13,32,120,252,Clear,09.10.16
Average,BDL,42,212,369,538,Clear,09.11.16
Average,BDL,33,252,397,Clear,,10.01.16
Average,BDL,19,230,333,Clear,,10.02.16
